time,power
2020-01-01 00:00:00,606.4145517876958
2020-01-01 01:00:00,582.3736418178682
2020-01-01 02:00:00,563.445053784653
2020-01-01 03:00:00,555.8633184470771
2020-01-01 04:00:00,539.3055824818779
2020-01-01 05:00:00,554.5022629555317
2020-01-01 06:00:00,579.2250574047317
2020-01-01 07:00:00,570.5699261853638
2020-01-01 08:00:00,591.451625206082
2020-01-01 09:00:00,611.2550750806924
2020-01-01 10:00:00,610.4872944208471
2020-01-01 11:00:00,614.5221508660647
2020-01-01 12:00:00,627.0387150337309
2020-01-01 13:00:00,634.2055184590324
2020-01-01 14:00:00,639.7756199956991
2020-01-01 15:00:00,670.3830838065371
2020-01-01 16:00:00,672.7899461690018
2020-01-01 17:00:00,691.2448554163282
2020-01-01 18:00:00,716.7720318946514
2020-01-01 19:00:00,709.0397254187894
2020-01-01 20:00:00,703.4587884761121
2020-01-01 21:00:00,694.9456162760949
2020-01-01 22:00:00,673.1033207833921
2020-01-01 23:00:00,642.425143053745
